date,med_temp,med_hum,pm25,o3
2020-06-29,17,88.1011015877247,18,26
2020-06-30,20.5,68.2433554533388,19,33
2020-07-01,21,68.7030110055214,33,38
2020-07-02,22,62.6098224132409,42,38
2020-07-03,24,61.0190511556517,46,38
2020-07-04,25,61.4336203050474,47,35
2020-07-05,27,44.8474512122017,46,37
2020-07-06,27,51.9321565440715,56,39
2020-07-07,26,57.6802689560102,67,37
2020-07-08,24,61.0190511556517,65,33
2020-07-09,23,61.0190511556517,61,39
2020-07-10,26.3333333333333,58.417520068601,48,47
2020-07-11,27.5,58.1127343408528,58,41
2020-07-12,28.5,46.8834820036507,46,41
2020-07-13,27,57.6802689560102,46,32
2020-07-14,24,65.0156607082207,53,31
2020-07-15,22.5,62.9199593023353,45,35
2020-07-16,22.5,66.8527104026465,35,33
2020-07-17,24,65.0156607082207,32,33
2020-07-18,24.5,63.1215382294937,28,35
2020-07-19,24.5,65.1120047745209,31,33
2020-07-20,23,61.0190511556517,31,30
2020-07-21,21.5,68.7943013434707,36,32
2020-07-22,21.5,73.2299383396842,39,35
2020-07-23,21,68.7040493306675,39,35
2020-07-24,22,64.5243824313096,29,30
2020-07-25,23,64.8208674490189,34,36
2020-07-26,23,69.1512422887479,27,37
2020-07-27,22.5,69.2023114504402,40,33
2020-07-28,22.5,68.884553356274,44,32
2020-07-29,22,73.2299383396842,44,33
2020-07-30,24.5,63.1215382294937,45,37
2020-07-31,27,57.8975761422822,44,36
2020-08-01,27,57.8975761422822,56,33
2020-08-02,26,61.4336203050474,61,36
2020-08-03,25,65.2083488408211,50,33
2020-08-04,23,69.0630153592452,54,31
