"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"22",2020-03-16,61,61.3,8.4,46,16,20.6,26.9,-73,-31,-60,-70,-50,26,2020-03-16,0.955844283408732,0.953809527319937,0.88754017598038,1.02462608644014,120.588374932997,71.2372876088532,122.866263667519,61,148
"23",2020-03-17,42,61,9,59,24,23.8,27.3,-76,-36,-62,-72,-55,29,2020-03-17,0.930513354846925,0.929084024689003,0.862626355657954,0.999427478666219,120.448963124643,77.026321107872,84.5964438366524,42,145
"24",2020-03-18,62,60,12.2,65,28,29.3,31.3,-77,-38,-67,-73,-56,30,2020-03-18,0.909679705750739,0.904551693608564,0.833801583883796,0.974017900142615,119.613467039183,82.6843613144504,124.880464711249,62,99
"25",2020-03-19,70,64,13.5,63,24,15.1,34.2,-78,-39,-73,-75,-57,31,2020-03-19,0.889626671024282,0.886858154792747,0.816180622303553,0.954982329446874,118.159645583926,88.1309181000063,140.994073061087,70,293
"26",2020-03-20,87,71.3,14,68,28,21.1,29.7,-79,-33,-77,-76,-58,33,2020-03-20,0.873423024515877,0.871289883384077,0.797125737206575,0.931336944842785,116.188326406759,93.222878991923,175.235490804494,87,278
"27",2020-03-21,58,69.2,12,59,21,11.9,31.7,-86,-46,-86,-80,-62,28,2020-03-21,0.859067256838436,0.857524584629539,0.800704220144706,0.935642271207249,113.779387839197,97.9011234298875,116.82366053633,58,304
"28",2020-03-22,64,73.5,11,42,19,4.6,21.6,-96,-94,-91,-88,-64,24,2020-03-22,0.847098109488694,0.845584253613114,0.778096179480281,0.910613903542179,111.009937247635,102.056616116757,128.908866798708,64,256
"29",2020-03-23,159,41.5,5.6,34,14,10.6,28.1,-79,-39,-78,-78,-64,32,2020-03-23,0.835881764388693,0.834119650327152,0.775192161658409,0.899097948063817,107.963432366587,105.676489267468,189.361832194327,159,516
"30",2020-03-24,135,48,5.9,50,16,14.7,25.6,-80,-43,-79,-77,-66,34,2020-03-24,0.825588077462181,0.82352111401755,0.771394079221099,0.894323868886455,104.711080912914,108.685032788853,189.844209816169,135,437
"31",2020-03-25,139,54.5,5.5,50,20,7.4,22.4,-83,-46,-82,-80,-68,35,2020-03-25,0.818772871644689,0.816492802259937,0.763283628363578,0.884740686814511,101.305217411914,111.077439444994,108.815351138132,139,785
"32",2020-03-26,146,93,3.1,38,14,13.3,18.3,-85,-51,-85,-82,-71,37,2020-03-26,0.811776422987017,0.809839059073498,0.74549308055476,0.867614138359204,97.7847513041345,112.824741667572,107.709219462818,146,833
"33",2020-03-27,160,81.3,7.2,57,29,9.6,15.1,-83,-40,-83,-81,-70,38,2020-03-27,0.806719053614092,0.803722370002904,0.749277955821915,0.869408701380615,94.2086646130276,113.95950640038,87.7903912059954,160,1120
"34",2020-03-28,173,68.3,10.5,68,71,12.8,26,-88,-50,-86,-82,-66,29,2020-03-28,0.803801721992908,0.803963671453126,0.742839066802906,0.860777101344789,90.6250626924378,114.48516694757,94.0833307526199,173,1130
