"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"14",2020-03-08,88,51.2,8.1,30,9,31.1,35.8,-48,-1,16,-42,-19,8,2020-03-08,0.959866070331912,0.959354015272105,0.878650560125716,1.0247267391361,394.492995263323,179.534392835686,236.902888270638,88,315
"15",2020-03-09,238,70.2,8.3,61,20,27.5,28.9,-42,-9,-35,-57,-31,16,2020-03-09,0.918998065345318,0.917914283712943,0.847629422897263,0.987822621015734,395.640447028038,200.341788922273,640.714629641044,238,298
"16",2020-03-10,51,57.8,8.4,82,33,29.3,23.6,-50,-8,-25,-61,-38,20,2020-03-10,0.882547971519879,0.882229906910912,0.816607306793042,0.958160495503112,393.772988373251,221.664525328596,137.295992065938,51,213
"17",2020-03-11,561,59.6,11.6,74,29,27.5,31.3,-57,-13,-23,-65,-43,22,2020-03-11,0.850073125693004,0.850499982515117,0.784261556869862,0.915428420028616,388.580463236357,242.934121066532,307.45874847298,561,1564
"18",2020-03-12,247,72.6,12,117,50,25.2,24.4,-74,-26,-62,-74,-52,28,2020-03-12,0.823111770200687,0.821398329979663,0.760806601910768,0.881624801746076,380.426418179684,263.543316545259,317.418227263641,247,667
"19",2020-03-13,186,72.3,13.3,63,25,15.1,29.3,-78,-27,-57,-76,-58,31,2020-03-13,0.80135748986443,0.801136098585322,0.736711578054101,0.860595002947458,369.831272159964,282.949482790595,296.340774128063,186,538
"20",2020-03-14,338,73.3,10,72,23,13.3,26.4,-86,-46,-80,-80,-63,26,2020-03-14,0.783228159688084,0.783009669718946,0.719316961612551,0.84017102811677,357.301462640165,300.977741849631,360.347400969237,338,804
"21",2020-03-15,351,70.3,6.7,46,10,10.6,35,-91,-58,-78,-83,-57,22,2020-03-15,0.76834519405637,0.766373333511624,0.708145993524184,0.822710446320383,343.374142617867,316.891153351961,420.786518571285,351,715
"22",2020-03-16,445,58.6,8.3,59,18,23.8,34.6,-78,-35,-62,-79,-63,30,2020-03-16,0.756262061592825,0.755622687663034,0.694178602550319,0.805554300040265,328.53795181692,330.450684548576,369.249938762763,445,1033
"23",2020-03-17,382,57.6,11.7,89,32,35.2,37.4,-80,-39,-59,-80,-65,32,2020-03-17,0.747648889173785,0.745292752853666,0.683832546511321,0.793909680487279,313.18762144483,341.565880151474,467.095934653284,382,701
"24",2020-03-18,484,52.8,14.3,99,40,29.8,41.1,-82,-42,-67,-81,-66,33,2020-03-18,0.742596516157156,0.739765009296312,0.688367421035654,0.799071771275449,297.643709542075,350.171353994508,505.315880559734,484,821
"25",2020-03-19,463,57,13,78,30,31.1,43.1,-82,-43,-72,-82,-67,34,2020-03-19,0.738946175676905,0.736498673919034,0.678203163579071,0.790106023186684,282.199085712794,355.978902646832,571.027375188797,463,695
"26",2020-03-20,401,59.1,14.3,93,39,16,45.9,-82,-40,-76,-82,-68,36,2020-03-20,0.736792274773303,0.733932987478499,0.680166358321933,0.78978937362947,267.125078376049,359.13152065057,413.622439144703,401,831
"27",2020-03-21,380,74.5,12.6,91,34,12.4,41.9,-88,-55,-84,-83,-67,27,2020-03-21,0.736031320900143,0.73393316276823,0.686283571437867,0.799669415361983,252.594541681058,359.579957532154,291.602448295363,380,1117
"28",2020-03-22,289,57.2,10.5,61,20,5.1,38.2,-95,-80,-92,-89,-65,24,2020-03-22,0.738741132016844,0.735588278019431,0.685787564034373,0.8030452715196,238.691671981303,357.706183739614,374.763361500005,289,661
"29",2020-03-23,588,45.3,5.4,38,14,12.4,29.7,-84,-47,-82,-86,-74,35,2020-03-23,0.741690162084068,0.741401521412211,0.673934771201589,0.786408867209376,225.474250912703,353.580524705825,504.008741133162,588,1000
