"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"17",2020-03-11,10,79.6,9.3,57,20,33.9,-51,-17,-31,-52,-34,18,2020-03-11,1.1261894593808,1.12713704027462,1.04024805434532,1.21237052218774,76.2912243812686,33.9403898073872,20.4778212127778,10,41
"18",2020-03-12,15,93.8,10.6,78,31,26.1,-70,-24,-68,-64,-44,25,2020-03-12,1.08838455892404,1.08600414767872,1.00245794179445,1.17726415310878,78.8613639157361,37.2717228525406,30.7167318191667,15,123
"19",2020-03-13,15,85.6,11.6,53,19,20.6,-74,-28,-65,-66,-50,28,2020-03-13,1.05168325431839,1.05105268360409,0.967408012756865,1.14093073793545,80.9091215205039,40.742488214436,30.7167318191667,15,125
"20",2020-03-14,31,81.2,12.5,53,15,9.2,-84,-45,-74,-72,-57,25,2020-03-14,1.0205056081992,1.01532627129617,0.946331553798541,1.1105633777107,82.4158600130965,44.3385824225078,63.4812457596111,31,106
"21",2020-03-15,30,59.8,11.2,25,8,3.7,-90,-64,-82,-78,-54,23,2020-03-15,0.991522449441618,0.988393354929,0.913139804736291,1.07956117208783,83.391980570884,48.0306675298594,61.4334636383333,30,107
"22",2020-03-16,24,54.9,10.9,34,11,22,-73,-37,-69,-69,-53,26,2020-03-16,0.964740839046645,0.960945381060931,0.879429902822053,1.03990587627913,83.8649105939015,51.7356603845599,49.1467709106667,24,220
"23",2020-03-17,28,78.6,10.6,57,19,23.4,-76,-42,-69,-71,-57,28,2020-03-17,0.937592735749098,0.937212894014314,0.866107375251197,1.01834396014306,83.8681286353801,55.4162226060693,57.3378993957778,28,122
"24",2020-03-18,81,68.6,13.7,59,19,13.8,-77,-44,-74,-72,-57,29,2020-03-18,0.913933444004768,0.910360348151297,0.836725301208516,0.985055561646629,83.4252169167133,58.9912206693767,165.8703518235,81,257
"25",2020-03-19,54,72.6,12.4,57,19,17,-78,-44,-75,-74,-59,31,2020-03-19,0.894504051792497,0.890867347484265,0.81079927962505,0.958250664331805,82.5477576044175,62.4319263113307,99.1781836977253,54,450
"26",2020-03-20,52,77.2,13.3,65,23,18.8,-79,-42,-76,-74,-59,32,2020-03-20,0.877738167297288,0.877492981627759,0.804318190838425,0.947520249698407,81.2689487613099,65.6566386638117,106.484670306444,52,256
