"","Date","NPI","Daily","Humidity","Temperature","pm25","pm10","no2","o3","npi","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"19",2020-03-12,71.79000092,56,83.5,13.4,53,20,11.5,19.5,70,2020-03-12,1.20217722881379,1.19763921598824,1.1146357614532,1.31671194511628,94.0081324906977,36.8151611047233,64.3668786135659,63,2521
"20",2020-03-13,71.79000092,70,86.3,13.3,59,26,12.8,13.5,70,2020-03-13,1.16444418064624,1.15767590141214,1.0650240885428,1.25327830728346,98.3557146905732,41.1167222512473,57.2150032120586,56,654
"21",2020-03-14,71.79000092,66,87.4,13.7,57,21,8.3,17.5,70,2020-03-14,1.12966443248633,1.13110794845565,1.05080068628028,1.2319413368823,102.199316250248,45.6633113965465,71.5187540150733,70,739
"22",2020-03-15,71.79000092,58,71.3,13,42,15,6,22.4,70,2020-03-15,1.09678846675151,1.09303285276184,1.00982925254207,1.17998235007556,105.501966677012,50.4601111799302,67.4319680713548,66,844
"23",2020-03-16,71.79000092,74,62.1,12.2,57,20,10.6,19.9,70,2020-03-16,1.0648195395534,1.06119906149955,0.981960593269843,1.14156774157723,108.244331739149,55.3970590242505,59.2583961839178,58,657
"24",2020-03-17,77.55999756,104,72.4,12.5,68,28,12.4,16.7,80,2020-03-17,1.03747603446966,1.03355672899469,0.952527942279723,1.11152879053537,110.407843961968,60.4297496808319,75.6055399587917,74,93
"25",2020-03-18,77.55999756,88,64.6,14.9,78,33,12.4,16.7,80,2020-03-18,1.01304009493905,1.0130983954135,0.92864628115569,1.08648319587795,111.967386800176,65.5205645053655,106.25643453668,104,1519
"26",2020-03-19,77.55999756,77,69,13.8,78,31,12.8,19.1,80,2020-03-19,0.993064215173179,0.995168283247438,0.911370421660865,1.06267278198535,112.938511504052,70.6181378044362,0,0,0
"27",2020-03-20,82.05000305,138,71.5,13.4,72,27,12.8,19.1,80,2020-03-20,0.971700612062969,0.969786039180676,0.908335737844506,1.05811860805389,113.372183403957,75.6140028572178,78.6706294165806,77,1142
"28",2020-03-21,82.05000305,156,68.6,14.2,82,31,10.1,19.5,80,2020-03-21,0.955933549610464,0.951667418661471,0.871195510556396,1.02545526546229,113.333304799494,80.4606364490575,0,0,0
"29",2020-03-22,82.05000305,122,69.2,13.1,82,31,7.8,24,80,2020-03-22,0.940023539952052,0.937644939435748,0.863314807534947,1.01198205495171,112.847037780684,85.0666455398173,159.38465180502,156,3198
"30",2020-03-23,82.05000305,116,37,10,46,17,2.8,28.5,80,2020-03-23,0.925973794036098,0.922901659191151,0.851763596045939,1.00088420331789,111.958617666996,89.4097405216262,124.646971283413,122,409
"31",2020-03-24,82.05000305,141,49.5,5.2,34,11,3.2,26,80,2020-03-24,0.912321424530439,0.909720551042136,0.833450033996549,0.980292104416897,110.725742625579,93.40905479013,0,0,0
"32",2020-03-25,82.05000305,139,58.6,8.3,25,8,5.5,24.8,80,2020-03-25,0.901591557303228,0.898233168053499,0.828232424460999,0.975692166847613,109.184447410502,97.0327769026867,144.059204516076,141,1873
"33",2020-03-26,82.05000305,136,87,9.4,17,6,10.6,13.5,80,2020-03-26,0.891687206649081,0.888213372850612,0.81487784058726,0.957374756601435,107.366149190022,100.226355620981,142.015811544217,139,1498
"34",2020-03-27,83.97000122,136,78.2,12.1,17,6,11.5,13.9,80,2020-03-27,0.882835688120321,0.883053997012735,0.806486341176704,0.94856990891552,105.31963271833,102.984249315696,138.950722086428,136,912
"35",2020-03-28,83.97000122,106,79.2,12.2,46,26,9.6,14.7,80,2020-03-28,0.873374585909878,0.874372269338327,0.800387808038955,0.941881661119449,103.093851688426,105.27783943917,138.950722086428,136,1990
"36",2020-03-29,83.97000122,123,78.5,13.6,65,55,6.4,19.5,80,2020-03-29,0.866626484593251,0.866622105763972,0.789699915974621,0.931038927849576,100.720294369083,107.114873269742,108.299827508539,106,298
"37",2020-03-30,83.97000122,118,82.9,12.8,63,50,9.2,19.5,80,2020-03-30,0.857914783758071,0.859348887374134,0.77893732171822,0.916789480918126,98.2136689155456,108.490893079794,125.668667769343,123,3017
"38",2020-03-31,83.97000122,74,70.9,10,42,15,5.5,18.7,80,2020-03-31,0.8507882015383,0.851214620315949,0.784446000836541,0.922712213564131,95.6039538870548,109.429129925983,120.560185339695,118,1194
"39",2020-04-01,83.97000122,133,45.3,8,34,12,4.6,30.9,80,2020-04-01,0.842863440405562,0.844035576178974,0.775543294140626,0.909218034400009,92.9087906528259,109.94140184656,75.6055399587917,74,496
"40",2020-04-02,83.97000122,110,57.3,9.7,50,16,9.6,26.4,80,2020-04-02,0.835460690978891,0.835054451127664,0.774163552848558,0.909045790769223,90.1382847567733,110.059534996955,111.041653729486,133,4537
"41",2020-04-03,83.97000122,117,69.4,10.9,61,20,10.6,25.6,80,2020-04-03,0.830853346475635,0.82997411506219,0.753126812160778,0.883112894574847,87.3049612031047,109.789325395994,112.386613452258,110,1450
"42",2020-04-04,83.97000122,94,42.6,13.5,55,17,6.9,30.5,80,2020-04-04,0.825527605152435,0.823599560535681,0.747326898447139,0.877889364914089,84.4218818284895,109.180882926414,119.538488853765,117,632
"43",2020-04-05,83.97000122,55,39.3,15.7,55,19,5.1,32.5,80,2020-04-05,0.820546804789307,0.818720250462041,0.756723772417439,0.887042333916045,81.5268521557869,108.260810707711,0,0,0
"44",2020-04-06,83.97000122,61,46.6,15.1,65,23,10.1,29.7,80,2020-04-06,0.816585011965502,0.815919864559524,0.746089572118798,0.872323979388883,78.64418036302,107.062074867215,56.193306726129,55,1024
"45",2020-04-07,83.97000122,80,60,15.3,72,29,10.1,26.4,80,2020-04-07,0.811114835453571,0.811472876204097,0.752600751432434,0.881001958294098,75.7785865121135,105.603016085513,62.3234856417067,61,726
"46",2020-04-08,83.97000122,116,65.1,15.1,78,31,9.6,29.7,80,2020-04-08,0.808078318320869,0.806009392248652,0.743752134361046,0.867693476858206,72.9436095369298,103.924001500725,71.0349689936064,80,4266
"47",2020-04-09,83.97000122,88,74.7,15.6,74,29,8.7,28.9,80,2020-04-09,0.804610102925238,0.802657961776053,0.732174533458643,0.854937156657091,70.1431132894705,102.045947010277,118.516792367836,116,2131
"48",2020-04-10,81.41000366,105,68,15.7,70,29,10.6,25.6,80,2020-04-10,0.802089033635646,0.800019021500025,0.737407522811665,0.864297553715388,67.3864744623741,99.9942153836461,89.9092907618064,88,2093
"49",2020-04-11,81.41000366,96,60.6,16.5,70,27,9.6,26,80,2020-04-11,0.798914928180061,0.795662258210007,0.725883594500525,0.851096555549098,64.6881961934505,97.7949407079676,107.27813102261,105,2604
"50",2020-04-12,85.26000214,116,66.9,16.4,63,25,5.5,28.1,90,2020-04-12,0.795872564282077,0.79339892230057,0.730580338508998,0.860879664018094,62.0569784512018,95.4654817267672,98.0828626492433,96,2922
"51",2020-04-13,85.26000214,129,70.9,16.6,59,20,3.7,30.5,90,2020-04-13,0.793995326930953,0.790578024624246,0.728501247778172,0.849152194326566,59.4952322127098,93.0336167905129,118.516792367836,116,3576
"52",2020-04-14,85.26000214,105,79.3,14.2,53,18,9.6,21.6,90,2020-04-14,0.791988503619041,0.789035342846956,0.721712195344591,0.848546439327388,57.0003463118864,90.5181351310812,131.798846684921,129,1718
"53",2020-04-15,85.26000214,102,59,13.1,25,11,5.5,27.7,90,2020-04-15,0.788356615931554,0.785253261237949,0.71370654564966,0.839174670916565,54.5785507255855,87.9424597376491,107.27813102261,105,810
