"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"16",2020-03-10,11,57,10.3,72,25,38.9,21.6,-44,-5,-23,-50,-27,16,2020-03-10,1.10671701293235,1.10345441224895,1.0182008365185,1.19401383277029,88.4652897538178,36.9670442639074,16.3299727929613,11,44
"17",2020-03-11,36,49.2,11.9,61,26,29.3,28.5,-50,-11,-20,-54,-32,18,2020-03-11,1.06287656824462,1.06102809295356,0.975675025170434,1.14051839375446,91.1919553915034,41.2071178905439,53.4435473224188,36,200
"18",2020-03-12,27,77.1,11.3,109,43,25.6,30.5,-68,-17,-51,-63,-40,23,2020-03-12,1.02272842799325,1.0211568724921,0.937836198831289,1.09481136125521,93.2373112407932,45.6301076480383,40.0826604918141,27,125
"19",2020-03-13,61,79,13.1,91,38,23.4,29.3,-73,-18,-61,-68,-46,27,2020-03-13,0.987223141419169,0.985923480264999,0.914122802867543,1.06299610559343,94.5768024602834,50.1871715998032,90.5571218518763,61,229
"20",2020-03-14,55,80.3,10.8,70,28,9.6,19.1,-84,-37,-78,-76,-57,26,2020-03-14,0.955288206409793,0.955025344441422,0.874948163833213,1.02033235178214,95.2104109596875,54.8296988655661,81.6498639648065,55,181
"21",2020-03-15,61,53.4,8.3,42,14,10.6,30.5,-90,-56,-72,-80,-53,22,2020-03-15,0.928416777963428,0.925890768539901,0.866645140588055,1.01177412046676,95.1757817292072,59.4934941374526,90.5571218518763,61,273
"22",2020-03-16,73,41.5,9.5,55,23,25.6,33.8,-73,-31,-60,-70,-50,26,2020-03-16,0.904249476112732,0.901638804794114,0.829756641743795,0.969509911455097,94.5332528992594,64.0673214631605,108.371637626016,73,177
"23",2020-03-17,20,43.4,12.2,68,33,33.9,33.8,-76,-36,-62,-72,-55,29,2020-03-17,0.880291770908693,0.87992206620941,0.816628329050747,0.94921260404688,93.3597866083744,68.4835670672031,29.690859623566,20,69
"24",2020-03-18,115,47,14.7,74,41,32,38.2,-77,-38,-67,-73,-56,30,2020-03-18,0.858284520217189,0.857477610936538,0.787876431152757,0.917209545193512,91.7315430159304,72.6416101086707,170.722442835504,115,184
"25",2020-03-19,88,48.7,14.7,76,32,29.8,39.4,-78,-39,-73,-75,-57,31,2020-03-19,0.839847040894651,0.838665155815436,0.772344801784613,0.896269665991449,89.6936730034669,76.4937931876112,107.138821498168,88,368
"26",2020-03-20,104,56,13.3,93,41,20.6,33.3,-79,-33,-77,-76,-58,33,2020-03-20,0.82346853144413,0.819663670787706,0.755616063293854,0.88012620478388,87.2855574564008,79.9527662356454,140.348335719396,104,332
"27",2020-03-21,139,56,12.2,61,26,13.3,38.6,-86,-46,-86,-80,-62,28,2020-03-21,0.809830506940299,0.809926924340802,0.740618451956625,0.861107827235228,84.5758996344182,82.9734422830227,85.4278120288421,139,729
"28",2020-03-22,104,75.7,9.3,55,18,4.6,27.3,-96,-94,-91,-88,-64,24,2020-03-22,0.797567285322358,0.794979151567433,0.739572128039169,0.861781071676934,81.6408607163697,85.5000315059709,112.008767929903,104,416
"29",2020-03-23,145,35.1,5,38,14,15.1,28.9,-79,-39,-78,-78,-64,32,2020-03-23,0.788754747249611,0.787247933804128,0.725097238752647,0.844064144764747,78.5487933854786,87.5197662694912,138.22358595605,145,470
"30",2020-03-24,199,39,5.6,46,15,18.8,31.7,-80,-43,-79,-77,-66,34,2020-03-24,0.77926661529223,0.777809995802391,0.715041560363346,0.829941599625899,75.3566627557712,89.0103209791761,138.445619987892,199,644
"31",2020-03-25,179,49.6,4.1,53,20,11,26.9,-83,-46,-82,-80,-68,35,2020-03-25,0.772005023094848,0.769179559161372,0.70760719404253,0.823958534180878,72.1222485175802,89.9817484058451,79.3256951907125,179,1011
"32",2020-03-26,143,91,1.3,46,14,10.6,24.8,-85,-51,-85,-82,-71,37,2020-03-26,0.767304627811353,0.763727036067958,0.696153901648823,0.817132548003489,68.8826320876137,90.4375802340463,78.5159500685102,143,816
"33",2020-03-27,96,86.6,5.1,63,30,7.8,17.9,-83,-40,-83,-81,-70,38,2020-03-27,0.761012925046296,0.758415102034077,0.692753738720731,0.817480584233746,65.6644961348245,90.4055025048615,64.0050102456587,96,672
