"","Date","NPI","Daily","Humidity","Temperature","pm25","npi","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"15",2020-03-08,64.41999817,0,41.5,9.3,46,60,2020-03-08,1.20741982582232,1.20639112724462,1.11461704005888,1.28674890011479,328.923755523356,115.399671319602,116.886431181819,34,131
"16",2020-03-09,64.41999817,24,67.2,8,76,60,2020-03-09,1.15630804176511,1.15414893988281,1.06682242637562,1.2391367969468,345.191135314811,129.535615647945,0,0,0
"17",2020-03-10,69.87000275,48,46.5,10.2,78,70,2020-03-10,1.10778015015774,1.10548107149381,1.03404375724179,1.20506246523878,359.328589444791,144.973516355116,82.5080690695192,24,161
"18",2020-03-11,71.79000092,28,57.7,12.8,65,70,2020-03-11,1.06694103099653,1.06554468475161,0.983516208599542,1.13975448251443,370.701505059578,161.527999493505,165.016138139038,48,57
"19",2020-03-12,71.79000092,118,78,12.5,55,70,2020-03-12,1.02570033462521,1.02549597403914,0.956276577126988,1.10690473952843,379.148156459182,178.945552507088,96.2594139144391,28,159
"20",2020-03-13,71.79000092,0,71.7,12.6,55,70,2020-03-13,0.989948321748066,0.987751436435316,0.913247458931041,1.06607620007884,384.766355667446,196.950101879984,405.664672925136,118,103
"21",2020-03-14,71.79000092,54,81,9.9,55,70,2020-03-14,0.958765706239932,0.956042429688391,0.876344925627542,1.02672462981355,387.586066097546,215.483313299106,0,0,0
"22",2020-03-15,71.79000092,183,66.2,9.4,57,70,2020-03-15,0.92875544795703,0.929131134288621,0.848057503418622,0.992349558319716,387.660302578871,233.95852117567,185.643155406418,54,158
"23",2020-03-16,71.79000092,207,60.9,10,68,70,2020-03-16,0.904753701996367,0.903905085481611,0.833320047460509,0.975686986194349,385.241888255704,252.093489088763,383.903420645,183,548
"24",2020-03-17,77.55999756,293,62,9.5,87,80,2020-03-17,0.884224607004203,0.883698471459314,0.820413186248883,0.954868656540039,380.565812458454,269.655514702193,458.515939904253,207,519
"25",2020-03-18,77.55999756,0,49.2,15.2,95,80,2020-03-18,0.866929924372209,0.865594872689069,0.791710470092432,0.929022646402651,373.949332668195,286.379974372045,524.667354684335,293,642
"26",2020-03-19,77.55999756,514,51.5,14.5,93,80,2020-03-19,0.849534125078719,0.848218653920689,0.769387232687258,0.90831550669405,365.786008002499,301.784963587461,0,0,0
"27",2020-03-20,82.05000305,124,55.5,13,82,80,2020-03-20,0.836482375324568,0.835835629553174,0.761395160033244,0.890754243625036,356.409139766499,315.697230556108,542.110815159766,514,1090
"28",2020-03-21,82.05000305,309,55.7,14,76,80,2020-03-21,0.824014825677061,0.822197103593285,0.765498432366153,0.886588230221412,346.019817553816,327.771983059657,426.291690192516,124,309
"29",2020-03-22,82.05000305,209,75.2,11.6,80,80,2020-03-22,0.815793884528519,0.814311118009151,0.747462729219662,0.870657194139833,334.849686544121,338.008857359403,384.032692510171,309,925
"30",2020-03-23,82.05000305,298,52,5.5,38,80,2020-03-23,0.808355229217102,0.806857546862684,0.736522911980559,0.858667650875894,323.144887399039,346.176041939125,590.341517612722,209,407
"31",2020-03-24,82.05000305,317,49.9,5.9,50,80,2020-03-24,0.80381202159889,0.801104935875233,0.74416156716064,0.860479296226007,311.157402284737,352.289733725673,393.775291784505,298,870
"32",2020-03-25,82.05000305,295,53.7,5,55,80,2020-03-25,0.799197036655899,0.798187875717561,0.740840480134216,0.860668570733119,299.10552333721,356.278356467136,493.13550744816,317,739
"33",2020-03-26,82.05000305,253,67.2,4.4,50,80,2020-03-26,0.797008419930797,0.796960031172137,0.73328277104489,0.850172479060381,287.153762892858,358.289728769411,419.203543344146,295,809
"34",2020-03-27,83.97000122,297,83.2,7.2,46,80,2020-03-27,0.795344262760578,0.795763793559926,0.731986458925329,0.851336350572966,275.401501823837,358.358329716842,388.32035319884,253,749
"35",2020-03-28,83.97000122,275,64.2,12.9,65,80,2020-03-28,0.793731166941861,0.791843602654971,0.733958126557903,0.85348711804685,263.929509074333,356.670696129192,368.720185122553,297,926
"36",2020-03-29,83.97000122,217,61.2,13.3,72,80,2020-03-29,0.793543555295683,0.792325607275181,0.737740107025469,0.855028056283266,252.810724538351,353.339799525692,241.515216183887,275,1309
