Date,Day,NewDeaths,Daily,C1_SchoolClosing,C1_Flag,C2_WorkplaceClosing,C2_Flag,C3_CancelPublicEvents,C3_Flag,C4_RestrictionsOnGatherings,C4_Flag,C5_ClosePublicTransport,C5_Flag,C6_StayAtHomeRequirements,C6_Flag,C7_RestrictionsOnInternalMovement,C7_Flag,C8_InternationalTravelControls,E1_IncomeSupport,E1_Flag,E2_Debt_contractRelief,E3_FiscalMeasures,E4_InternationalSupport,H1_PublicInformationCampaigns,H1_Flag,H2_TestingPolicy,H3_ContactTracing,H4_EmergencyInvestmentInHealthcare,H5_InvestmentInVaccines,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,Humidity,Temperature,pm25,pm10,co,no2,o3
05/15/2020,50,122,541,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,218223,14817,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/16/2020,51,120,580,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,233142,15633,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/17/2020,52,90,626,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,241080,16118,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/18/2020,53,119,522,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,254220,16792,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/19/2020,54,175,1090,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,271628,17971,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/20/2020,55,114,2540,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,291579,18859,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/21/2020,56,127,1680,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,310087,20047,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/22/2020,57,144,1420,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,330890,21048,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/23/2020,58,182,882,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,347398,22013,81.02,81.02,80.48,80.48,66.35,66.35,69.32,69.32,50,50,-1,-1,-1,-1,-1,-1,-1
05/24/2020,59,53,732,3,0,3,0,2,0,4,0,2,0,2,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,NaN,363211,22666,81.02,81.02,80.48,80.48,68.91,68.91,72.35,72.35,50,50,-1,-1,-1,-1,-1,-1,-1
