"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"12",2020-03-06,31,88.1,6.3,59,21,20.6,20.8,-17,-1,-9,-34,-15,8,2020-03-06,1.03094476285575,1.02942549305508,0.948083667404049,1.10314545590241,78.5146147716078,41.1951915319485,56.9576307656468,31,45
"13",2020-03-07,48,76.3,8.7,70,27,17.4,23.6,-22,5,-8,-31,-18,8,2020-03-07,1.00112915144477,1.00065415093802,0.920559626701643,1.07205887040879,79.6475073383418,44.8423235567119,88.1924605403563,48,160
"14",2020-03-08,47,63,8.9,46,16,23.8,29.3,-37,7,26,-33,-13,7,2020-03-08,0.973963450729066,0.973358085614558,0.89577609005335,1.03857227697156,80.2800613981107,48.5445065328914,79.7415793367484,47,205
"15",2020-03-09,3,71.5,7.6,57,21,17.4,23.2,-34,-4,-21,-45,-20,12,2020-03-09,0.94846620904845,0.9481860016637,0.875109394056136,1.01440296944,80.4299405231538,52.211681674314,5.51202878377227,3,8
"16",2020-03-10,46,67,9.4,46,18,34.8,22.4,-44,-5,-23,-50,-27,16,2020-03-10,0.927290994156596,0.925554646533454,0.862083823677385,1.0000665730542,80.1487460915414,55.7611568818746,84.5177746845081,46,184
"17",2020-03-11,53,59.9,11.1,55,22,22.9,26.4,-50,-11,-20,-54,-32,18,2020-03-11,0.907060083186901,0.906409827415238,0.833908159846806,0.970454528407658,79.4673943649618,59.2173320145598,62.4877215646427,53,295
"18",2020-03-12,52,84.2,12.2,102,47,22,29.3,-68,-17,-51,-63,-40,23,2020-03-12,0.890126101216882,0.891304290016948,0.825270859647053,0.95554688019858,78.4292983978898,62.4213975678415,75.3586201888065,52,240
"19",2020-03-13,88,81.4,13.3,82,36,16.5,26.4,-73,-18,-61,-68,-46,27,2020-03-13,0.876163623792922,0.876459848748921,0.803151448311653,0.932506946055351,77.0817684187164,65.3461288162313,92.4688623278872,88,331
"20",2020-03-14,52,71.9,11.1,63,24,6,19.1,-84,-37,-78,-76,-57,26,2020-03-14,0.863943676369259,0.860788447273145,0.79807111172058,0.92955302190666,75.4736821439627,67.9932633450106,95.5418322520526,52,171
"21",2020-03-15,92,66.8,8.5,42,15,8.7,29.7,-90,-56,-72,-80,-53,22,2020-03-15,0.852572568130836,0.849897210403278,0.780293028922037,0.91069597061843,73.6657405907557,70.3570724506696,77.6660910086281,92,412
"22",2020-03-16,45,53.3,9.4,59,18,29.3,32.1,-73,-31,-60,-70,-50,26,2020-03-16,0.842478021468093,0.839473144230566,0.772479694420344,0.895822761533976,71.7071249656545,72.3442541720507,82.680431756584,45,109
"23",2020-03-17,93,55,11.3,72,26,22.9,33.3,-76,-36,-62,-72,-55,29,2020-03-17,0.833700522253774,0.83099631929481,0.779331744213678,0.904868256597397,69.6276650162743,73.9743370301983,100.454156868978,93,322
"24",2020-03-18,0,46.5,16.9,89,36,31.6,39.4,-77,-38,-67,-73,-56,30,2020-03-18,0.826411861411157,0.825618209595683,0.768813359714992,0.890761646775848,67.4524258844827,75.1925711761988,0,0,0
"25",2020-03-19,69,41.6,20,80,35,26.1,39,-78,-39,-73,-75,-57,31,2020-03-19,0.819586935191056,0.818151529806076,0.769035103773542,0.889753271230061,65.2114095163803,76.0648875845598,83.0409069953843,69,289
"26",2020-03-20,110,56.4,17.5,89,40,16.5,28.5,-79,-33,-77,-76,-58,33,2020-03-20,0.813502924237233,0.81554088461669,0.738624070153496,0.862348807136996,62.9348079640189,76.5535523554137,108.999976604454,110,351
